id,name,artist,duration,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,lyrics,Language,label_1,score_1,label_2,score_2
1hA4856JVAa0qqgKg6olJf,"The Messenger - Live from Las Vegas, 2011",Linkin Park,233280,37,0.325,0.726,0.409,1.3e-05,0.188,-5.711,0.0295,109.001,0.187,"When you feel you're alone, cut off from this cruel world
Your instinct's telling you to run
Listen to your heart, those angel voices
They'll sing to you, they'll be your guide back home
When life leaves us blind
Love keeps us kind
It keeps us kind
When you've suffered enough, and your spirit is breaking
You're growing desperate from the fight
Remember you're loved, and you always will be
This melody will bring you right back home
When life leaves us blind
Love keeps us kind
When life leaves us blind
Love keeps us kind
Ohhhhhh, Ohhhhhhh!
Ohhhhhh!
Ohhhhhh, Ohhhhhhh!
Ohhhhhhh!You might also likeEmbed",en,LABEL_0,0.44453164935112,LABEL_1,0.5554683208465576
0GgN4MhR5GKn5IcKN0e0rG,Cancer,My Chemical Romance,142973,72,0.457,0.358,0.515,0.0,0.278,-4.31,0.0261,74.984,0.222,"
Turn away
If you could, get me a drink
Of water 'cause my lips are chapped and faded
Call my Aunt Marie
Help her gather all my things
And bury me in all my favorite colors

My sisters and my brothers, still
I will not kiss you
'Cause the hardest part of this is leaving you

Now turn away
'Cause I'm awful just to see
'Cause all my hair's abandoned all my body
Oh, my agony
Know that I will never marry
Baby, I'm just soggy from the chemo

But counting down the days to go
It just ain't living
And I just hope you know
You might also like
That if you say (If you say)
Goodbye today (Goodbye today)
I'd ask you to be true (I'd ask you to be true)
'Cause the hardest part of this is leaving you
'Cause the hardest part of this is leaving you90Embed",en,LABEL_0,0.5133240818977356,LABEL_1,0.486675888299942
10nyNJ6zNy2YVYLrcwLccB,No Surprises,Radiohead,229120,83,0.255,0.0577,0.393,0.00361,0.113,-10.654,0.0278,76.426,0.118,"
A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal
You look so tired, unhappy
Bring down the government
They don't, they don't speak for us
I'll take a quiet life
A handshake of carbon monoxide

And no alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Silent, silent

This is my final fit
My final bellyache with

No alarms and no surprises
No alarms and no surprises
No alarms and no surprises, please

Such a pretty house
And such a pretty garden
You might also like
No alarms and no surprises
(Get me out of here)
No alarms and no surprises
(Get me out of here)
No alarms and no surprises, please
(Get me out of here)111Embed",en,LABEL_0,0.5183224678039551,LABEL_1,0.4816775321960449
7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),My Chemical Romance,186480,78,0.21,0.00602,0.94,0.0,0.269,-3.427,0.123,179.722,0.255,"

Well, if you wanted honesty
That's all you had to say
I never want to let you down
Or have you go, it's better off this way

For all the dirty looks
The photographs your boyfriend took
Remember when you broke your foot
From jumping out the second floor?

I'm not okay
I'm not okay
I'm not okay
You wear me out

What will it take to show you
That it's not the life it seems? (I'm not okay)
I've told you time and time again
You sing the words, but don't know what it means (I'm not okay)
You might also like
To be a joke and look
Another line without a hook
I held you close as we both shook
For the last time, take a good hard look

I'm not okay
I'm not okay
I'm not okay
You wear me out

Forget about the dirty looks
The photographs your boyfriend took
You said you read me like a book
But the pages all are torn and frayed now

But I'm okay, I'm okay
I'm okay now, (I'm okay now,) but you really need to listen to me
Because I'm telling you the truth
I mean this, I'm okay
Trust me
I'm not okay
I'm not okay
Well, I'm not okay, I'm not o-fucking-kay
I'm not okay
I'm not okay111Embed",en,LABEL_0,0.5562913417816162,LABEL_1,0.4437086582183838
5u2FOoFhp495GIj5BJC77J,Hold On Till May,Pierce The Veil,278586,66,0.46,0.000585,0.91,0.00155,0.0735,-3.71,0.0525,73.019,0.327,"
She sits up high, surrounded by the sun
One million branches and she loves everyone
""Mom and dad, did you search for me?
I've been up here so long I'm going crazy""

And as the sun went down
We ended up on the ground
I heard the train shake the windows
You screamed over the sound
And as we own this night
I put your body to the test with mine
This love was out of control
3, 2, 1 - Where did it go?

""Now don't be crazy, yes, now, of course, you can stay here""
Been in a touring band for going on ten years
""Big deal, well I guess you're official.""
I only said it because I know what it's like to feel burned out!
It gets you down, we've all been there sometimes
But tonight, I'll make you feel beautiful once again

And as the sun went down
We ended up on the ground
I heard the train shake the windows
You screamed over the sound
And as we own this night
I put your body to the test with mine
This love was out of control
3, 2, 1 - Where did it go?
See Pierce The Veil LiveGet tickets as low as $26You might also like
If I were you, I'd put that away
See, you're just wasted and thinking about the past again
Darling, you'll be okay
And she said
""If you were me, you'd do the same
Cause I can't take any more
I'll draw the shades and close the door
Everything's not alright and I would rather”

And as the sun went down
We ended up on the ground
I heard the train shake the windows
You screamed over the sound
And as we own this night
I put your body to the test with mine
This love was out of control
Tell me, where did it go?56Embed",en,LABEL_0,0.49408578872680664,LABEL_1,0.5059142112731934
73CKjW3vsUXRpy3NnX4H7F,Fake Plastic Trees,Radiohead,290706,73,0.463,0.167,0.229,0.0997,0.202,-12.592,0.0297,73.543,0.135,"
A green plastic watering can
For a fake Chinese rubber plant
In a fake plastic earth
That she bought from a rubber man
In a town full of rubber plants
To get rid of itself

It wears her out
It wears her out
It wears her out
It wears her out

She lives with a broken man
A cracked polystyrene man
Who just crumbles and burns
He used to do surgery
For girls in the eighties
But gravity always wins

And it wears him out
It wears him out
It wears him out
It wears
You might also like
She looks like the real thing
She tastes like the real thing
My fake plastic love
But I can't help the feeling
I could blow through the ceiling
If I just turn and run

And it wears me out
It wears me out
It wears me out
It wears me out

And if I could be who you wanted
If I could be who you wanted
All the time
All the time87Embed",en,LABEL_0,0.5030214786529541,LABEL_1,0.4969784915447235
7hFmiFUYmIjELj5d0UjbVh,How to Disappear Completely,Radiohead,356333,48,0.167,0.316,0.302,0.797,0.11,-11.644,0.0345,102.026,0.19,"
That there
That's not me
I go where I please
I walk through walls
I float down the Liffey

I'm not here
This isn't happening
I'm not here
I'm not here

In a little while
I'll be gone
The moment's already passed
Yeah, it's gone

And I'm not here
This isn't happening
I'm not here
I'm not here

Strobe lights
And blown speakers
Fireworks
And hurricanes
You might also like
I'm not here
This isn't happening
I'm not here
I'm not here

Ah-ah, ah-ah
Ah-ah, ah-ah
Ah-ahh
Ah-ah, ah-ah
Ah-ah-ah
Ah-ahh-ah
Ah-ah104Embed",en,LABEL_0,0.48662880063056946,LABEL_1,0.5133711695671082
5k7VKj1Xwy5DjO4B0PdAOb,Nude,Radiohead,255386,0,0.537,0.833,0.342,0.6,0.0856,-9.785,0.0338,128.331,0.156,"
Don't get any big ideas
They're not gonna happen
You paint yourself white
And fill up with noise
But there'll be something missing

Now that you've found it, it's gone
Now that you feel it, you don't
You've gone off the rails

So don't get any big ideas
They're not gonna happen
You'll go to hell
For what your dirty mind is thinkingYou might also like51Embed",en,LABEL_0,0.4407002925872803,LABEL_1,0.5592997074127197
1r8qywTSOGQvFxQnzcyiBj,One More Light - One More Light Live,Linkin Park,259386,48,0.254,0.644,0.298,4.33e-05,0.985,-12.873,0.0334,168.253,0.0883,"
Should've stayed, were there signs, I ignored?
Can I help you, not to hurt, anymore?
We saw brilliance, when the world, was asleep
There are things that we can have, but can't keep

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well I do

The reminders, pull the floor from your feet
In the kitchen, one more chair than you need, oh
And you're angry, and you should be, it's not fair
Just 'cause you can't see it, doesn't mean it, isn't there

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well I do
You might also like
(I do)

If they say
Who cares if one more light goes out?
In the sky of a million stars
It flickers, flickers
Who cares when someone's time runs out?
If a moment is all we are
Or quicker, quicker
Who cares if one more light goes out?
Well I do
I do

Thank you1Embed",en,LABEL_0,0.5094847083091736,LABEL_1,0.4905152916908264
28kOpVf1aCgL0LSFfuKV4w,Oom Sha La La,Haley Heynderickx,177339,56,0.538,0.275,0.417,0.0,0.206,-9.176,0.0361,115.422,0.252,"The milk is sour
I've barely been to college
And I've been doubtful
Of all that I have dreamed of
The brink of my existence essentially is a comedy
The gap in my teeth and all that I can cling to
The milk is sour
Sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
The milk is sour
With olives on my thumbs
And all that I have stuck to and all that I have clung to
I've felt like a dog
This world that I have trusted
Is bent over and busted and rusted by an arbitrary sonogram
Sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
You might also likeThe milk is sour
With olives on my thumbs
And I've been doubtful
Of all that I have dreamed of
The brink of my existence essentially is a comedy
The gap in my teeth and all that I can cling to
The milk is sour
Sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
If you don't go outside
Well nothing's gonna happen
She'll never write her number on a crumpled up napkin
She'll never be your ego
She'll never be a bandit
She'll never get to eat you like your heart's a pomegranate
I'm throwing out the milk
The olives got old
I'm tired of my mind getting heavy with mold
I need to start a garden
I need to start a garden
I need to start a garden
I need to start a garden!
Gonna start a garden in my backyard
I'm gonna start a garden in my backyard
'Cause making this song up is just as hard
'Cause making this song up is just as hard
Oom sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
Oom sha la la
Oom oom sha la la
Sha la la
Sha la la
Sha la la
Sha la6Embed",en,LABEL_0,0.44509047269821167,LABEL_1,0.5549095273017883
